GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P009001,P009001.2000,P009002,P009002.2000,P009003,P009003.2000,P009004,P009004.2000,P009005,P009005.2000,P009006,P009006.2000,P009007,P009007.2000,P009008,P009008.2000,P009009,P009009.2000,P009010,P009010.2000,P009011,P009011.2000,P009012,P009012.2000,P009013,P009013.2000,P009014,P009014.2000,P009015,P009015.2000,P009016,P009016.2000,P009017,P009017.2000,P009018,P009018.2000,P009019,P009019.2000,P009020,P009020.2000,P009021,P009021.2000,P009022,P009022.2000,P009023,P009023.2000,P009024,P009024.2000,P009025,P009025.2000,P009026,P009026.2000,P009027,P009027.2000,P009028,P009028.2000,P009029,P009029.2000,P009030,P009030.2000,P009031,P009031.2000,P009032,P009032.2000,P009033,P009033.2000,P009034,P009034.2000,P009035,P009035.2000,P009036,P009036.2000,P009037,P009037.2000,P009038,P009038.2000,P009039,P009039.2000,P009040,P009040.2000,P009041,P009041.2000,P009042,P009042.2000,P009043,P009043.2000,P009044,P009044.2000,P009045,P009045.2000,P009046,P009046.2000,P009047,P009047.2000,P009048,P009048.2000,P009049,P009049.2000,P009050,P009050.2000,P009051,P009051.2000,P009052,P009052.2000,P009053,P009053.2000,P009054,P009054.2000,P009055,P009055.2000,P009056,P009056.2000,P009057,P009057.2000,P009058,P009058.2000,P009059,P009059.2000,P009060,P009060.2000,P009061,P009061.2000,P009062,P009062.2000,P009063,P009063.2000,P009064,P009064.2000,P009065,P009065.2000,P009066,P009066.2000,P009067,P009067.2000,P009068,P009068.2000,P009069,P009069.2000,P009070,P009070.2000,P009071,P009071.2000,P009072,P009072.2000,P009073,P009073.2000
17031812700,140,17,031,16980,176,,,Census Tract 8127,3216,1772,3285,1746,3216,3285,211,167,3005,3118,2909,3026,2062,2063,632,791,5,6,197,158,2,0,11,8,96,92,84,90,31,25,8,11,34,21,0,0,0,16,3,3,4,2,1,4,2,1,0,1,0,0,0,0,0,0,1,6,0,0,12,2,4,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812900,140,17,031,16980,176,,,Census Tract 8129,4749,1992,4651,1858,4749,4651,270,225,4479,4426,4295,4331,3517,3552,572,566,2,4,189,196,3,4,12,9,184,95,176,93,73,39,14,14,60,23,6,0,0,5,5,2,11,3,0,0,0,3,0,0,0,0,0,0,0,1,7,3,0,0,7,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813000,140,17,031,16980,176,,,Census Tract 8130,3873,1545,4100,1548,3873,4100,285,220,3588,3880,3460,3747,2410,2519,908,1109,7,9,118,97,1,0,16,13,128,133,121,115,60,70,4,9,49,16,1,0,3,0,0,12,1,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,7,17,5,8,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813100,140,17,031,16980,176,,,Census Tract 8131,4538,1982,4853,1969,4538,4853,466,313,4072,4540,3899,4369,2291,2530,1352,1563,4,9,223,230,0,0,29,37,173,171,160,165,79,64,2,11,60,29,0,1,0,20,3,6,12,4,0,7,2,10,0,0,0,0,0,0,0,4,2,9,0,0,12,5,7,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813301,140,17,031,16980,176,,,Census Tract 8133.01,3502,1047,4073,1108,3502,4073,3021,3585,481,487,462,438,160,364,288,56,0,5,11,12,0,0,3,0,19,49,19,47,8,0,2,6,5,5,0,0,1,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813400,140,17,031,16980,176,,,Census Tract 8134,7551,2087,7637,2027,7551,7637,6533,5979,1018,1658,1004,1570,651,1416,305,78,2,5,33,64,2,0,11,7,14,88,14,88,4,2,1,7,5,12,1,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813500,140,17,031,16980,176,,,Census Tract 8135,6994,2068,6911,2100,6994,6911,5744,4829,1250,2082,1230,1999,743,1713,397,100,10,12,74,162,1,0,5,12,20,83,20,77,7,3,5,8,3,14,0,0,1,33,2,10,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813600,140,17,031,16980,176,,,Census Tract 8136,5334,1453,5244,1426,5334,5244,4841,4217,493,1027,479,954,336,880,81,6,3,1,38,51,0,0,21,16,14,73,13,72,3,1,1,2,4,9,1,0,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813701,140,17,031,16980,176,,,Census Tract 8137.01,3780,1138,4021,1112,3780,4021,3245,3590,535,430,530,416,184,344,321,54,4,6,12,8,7,0,2,1,5,14,5,14,0,2,0,2,2,2,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031813702,140,17,031,16980,176,,,Census Tract 8137.02,4263,1137,4535,1112,4263,4535,3896,4049,367,486,348,469,160,387,179,62,3,7,3,9,1,1,2,1,19,16,17,16,6,2,4,2,0,3,0,0,1,7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
