GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
17031670600,140,17,031,16980,176,,,Census Tract 6706,1650,553,2257,617,1650,2257
17031670800,140,17,031,16980,176,,,Census Tract 6708,1635,710,2031,742,1635,2031
17031670900,140,17,031,16980,176,,,Census Tract 6709,1351,648,1518,648,1351,1518
17031671200,140,17,031,16980,176,,,Census Tract 6712,1252,489,1597,530,1252,1597
17031671300,140,17,031,16980,176,,,Census Tract 6713,2688,944,3561,1035,2688,3561
17031680500,140,17,031,16980,176,,,Census Tract 6805,1481,652,2217,731,1481,2217
17031680900,140,17,031,16980,176,,,Census Tract 6809,4019,2179,4570,1982,4019,4570
17031681000,140,17,031,16980,176,,,Census Tract 6810,3498,1603,4343,1721,3498,4343
17031681400,140,17,031,16980,176,,,Census Tract 6814,3247,1296,3994,1299,3247,3994
17031690400,140,17,031,16980,176,,,Census Tract 6904,3464,1837,4150,1851,3464,4150
17031690500,140,17,031,16980,176,,,Census Tract 6905,877,480,1210,481,877,1210
17031691000,140,17,031,16980,176,,,Census Tract 6910,2492,1325,2957,1362,2492,2957
17031691100,140,17,031,16980,176,,,Census Tract 6911,3266,1542,3915,1602,3266,3915
17031700200,140,17,031,16980,176,,,Census Tract 7002,6609,1832,5903,1808,6609,5903
17031700301,140,17,031,16980,176,,,Census Tract 7003.01,5728,1685,5176,1703,5728,5176
17031700302,140,17,031,16980,176,,,Census Tract 7003.02,5319,1784,4807,1804,5319,4807
17031700401,140,17,031,16980,176,,,Census Tract 7004.01,5923,1876,5640,1871,5923,5640
17031700501,140,17,031,16980,176,,,Census Tract 7005.01,7125,2479,7627,2529,7125,7627
17031700502,140,17,031,16980,176,,,Census Tract 7005.02,3036,1070,3250,1091,3036,3250
17031710300,140,17,031,16980,176,,,Census Tract 7103,1414,612,1618,601,1414,1618
17031710400,140,17,031,16980,176,,,Census Tract 7104,5651,2180,6695,2195,5651,6695
17031710800,140,17,031,16980,176,,,Census Tract 7108,5338,2350,5818,2254,5338,5818
17031720100,140,17,031,16980,176,,,Census Tract 7201,3300,1237,3574,1261,3300,3574
17031720200,140,17,031,16980,176,,,Census Tract 7202,4016,1636,4453,1664,4016,4453
17031720300,140,17,031,16980,176,,,Census Tract 7203,3723,1354,3912,1359,3723,3912
17031720400,140,17,031,16980,176,,,Census Tract 7204,1924,732,2398,944,1924,2398
17031720500,140,17,031,16980,176,,,Census Tract 7205,2166,809,2262,822,2166,2262
17031720600,140,17,031,16980,176,,,Census Tract 7206,1756,645,1839,658,1756,1839
17031720700,140,17,031,16980,176,,,Census Tract 7207,3149,1502,3554,1489,3149,3554
17031730100,140,17,031,16980,176,,,Census Tract 7301,2424,952,2734,957,2424,2734
17031730700,140,17,031,16980,176,,,Census Tract 7307,2331,813,2609,819,2331,2609
17031740100,140,17,031,16980,176,,,Census Tract 7401,3048,1277,3281,1328,3048,3281
17031740200,140,17,031,16980,176,,,Census Tract 7402,6547,2287,5944,1996,6547,5944
17031740400,140,17,031,16980,176,,,Census Tract 7404,4785,1976,4857,1961,4785,4857
17031750100,140,17,031,16980,176,,,Census Tract 7501,4147,1592,4969,1653,4147,4969
17031750200,140,17,031,16980,176,,,Census Tract 7502,3227,1366,3506,1405,3227,3506
17031750300,140,17,031,16980,176,,,Census Tract 7503,2530,993,2680,999,2530,2680
17031750400,140,17,031,16980,176,,,Census Tract 7504,3009,1217,3166,1222,3009,3166
17031760801,140,17,031,16980,176,,,Census Tract 7608.01,4047,2349,3750,2198,4047,3750
17031760802,140,17,031,16980,176,,,Census Tract 7608.02,2276,1206,2108,1128,2276,2108
17031760803,140,17,031,16980,176,,,Census Tract 7608.03,6236,2989,5778,2796,6236,5778
17031770202,140,17,031,16980,176,,,Census Tract 7702.02,4912,2241,5036,2179,4912,5036
17031770300,140,17,031,16980,176,,,Census Tract 7703,7313,3094,7744,3052,7313,7744
17031770500,140,17,031,16980,176,,,Census Tract 7705,4078,1259,3656,1310,4078,3656
17031770601,140,17,031,16980,176,,,Census Tract 7706.01,3232,1107,3236,1087,3232,3236
17031770602,140,17,031,16980,176,,,Census Tract 7706.02,4956,1682,4962,1653,4956,4962
17031770700,140,17,031,16980,176,,,Census Tract 7707,2681,1308,2631,1314,2681,2631
17031770901,140,17,031,16980,176,,,Census Tract 7709.01,4934,2118,4893,2058,4934,4893
17031770902,140,17,031,16980,176,,,Census Tract 7709.02,3521,1634,3491,1587,3521,3491
17031800100,140,17,031,16980,176,,,Census Tract 8001,2419,866,2385,851,2419,2385
17031800200,140,17,031,16980,176,,,Census Tract 8002,6312,2345,6400,2371,6312,6400
17031800300,140,17,031,16980,176,,,Census Tract 8003,3501,1276,3522,1239,3501,3522
17031800400,140,17,031,16980,176,,,Census Tract 8004,3762,1367,3983,1382,3762,3983
17031800700,140,17,031,16980,176,,,Census Tract 8007,5135,1772,5028,1694,5135,5028
17031800800,140,17,031,16980,176,,,Census Tract 8008,2206,1110,2395,1109,2206,2395
17031801000,140,17,031,16980,176,,,Census Tract 8010,4908,2070,5039,2101,4908,5039
17031801100,140,17,031,16980,176,,,Census Tract 8011,4715,1654,4751,1663,4715,4751
17031801200,140,17,031,16980,176,,,Census Tract 8012,3547,1443,3796,1478,3547,3796
17031801300,140,17,031,16980,176,,,Census Tract 8013,4283,1704,4517,1728,4283,4517
17031801400,140,17,031,16980,176,,,Census Tract 8014,2919,1051,2962,1046,2919,2962
17031801500,140,17,031,16980,176,,,Census Tract 8015,5928,2462,6222,2470,5928,6222
17031801603,140,17,031,16980,176,,,Census Tract 8016.03,3855,1713,3577,1365,3855,3577
17031801605,140,17,031,16980,176,,,Census Tract 8016.05,5599,2318,5956,2303,5599,5956
17031801606,140,17,031,16980,176,,,Census Tract 8016.06,6066,2533,6371,2505,6066,6371
17031801607,140,17,031,16980,176,,,Census Tract 8016.07,5287,2128,5497,2017,5287,5497
17031801608,140,17,031,16980,176,,,Census Tract 8016.08,6564,3027,6544,2506,6564,6544
17031801701,140,17,031,16980,176,,,Census Tract 8017.01,3728,1290,3881,1296,3728,3881
17031801800,140,17,031,16980,176,,,Census Tract 8018,5619,2319,5728,2172,5619,5728
17031801902,140,17,031,16980,176,,,Census Tract 8019.02,3223,1183,3058,1192,3223,3058
17031802002,140,17,031,16980,176,,,Census Tract 8020.02,5071,1656,4992,1661,5071,4992
17031802003,140,17,031,16980,176,,,Census Tract 8020.03,2684,939,2784,932,2684,2784
17031802100,140,17,031,16980,176,,,Census Tract 8021,3573,1285,3416,1289,3573,3416
17031802300,140,17,031,16980,176,,,Census Tract 8023,4840,2171,1636,579,4840,1636
17031802402,140,17,031,16980,176,,,Census Tract 8024.02,4821,2148,4169,1753,4821,4169
17031802404,140,17,031,16980,176,,,Census Tract 8024.04,7226,3072,6921,2943,7226,6921
17031802503,140,17,031,16980,176,,,Census Tract 8025.03,6200,2528,6415,2517,6200,6415
17031802504,140,17,031,16980,176,,,Census Tract 8025.04,6601,2056,7037,2059,6601,7037
17031802505,140,17,031,16980,176,,,Census Tract 8025.05,6844,2600,6191,2326,6844,6191
17031802506,140,17,031,16980,176,,,Census Tract 8025.06,2508,855,2269,765,2508,2269
17031802608,140,17,031,16980,176,,,Census Tract 8026.08,6256,3151,6598,3140,6256,6598
17031802609,140,17,031,16980,176,,,Census Tract 8026.09,6699,2723,6945,2705,6699,6945
17031802610,140,17,031,16980,176,,,Census Tract 8026.10,1729,683,1792,678,1729,1792
17031802701,140,17,031,16980,176,,,Census Tract 8027.01,6952,2316,7335,2311,6952,7335
17031802702,140,17,031,16980,176,,,Census Tract 8027.02,4498,1762,4714,1715,4498,4714
17031802900,140,17,031,16980,176,,,Census Tract 8029,6080,2191,6169,2180,6080,6169
17031803005,140,17,031,16980,176,,,Census Tract 8030.05,2655,1147,2581,998,2655,2581
17031803007,140,17,031,16980,176,,,Census Tract 8030.07,5247,2207,5419,2100,5247,5419
17031803008,140,17,031,16980,176,,,Census Tract 8030.08,4712,1769,4965,1753,4712,4965
17031803010,140,17,031,16980,176,,,Census Tract 8030.10,5196,2103,5752,2119,5196,5752
17031803012,140,17,031,16980,176,,,Census Tract 8030.12,2221,1099,2319,1071,2221,2319
17031803013,140,17,031,16980,176,,,Census Tract 8030.13,5449,2451,5689,2388,5449,5689
